trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",20,0,-54.025975198390945,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.3, 'e': 0.7071067811865475}",25,0,-91.11562851804727,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.5773502691896258}",25,0,-67.757901763812,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.5}",25,0,-100.42589280760016,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.4472135954999579}",25,0,-110.90884697011859,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.4082482904638631}",20,0,-21.88222503742415,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.3779644730092272}",25,0,-70.19977170471955,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.35355339059327373}",30,17,-45.44951668173435,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,False,"{'a': 0.3, 'e': 0.3333333333333333}",20,0,-13.154295809227253,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.31622776601683794}",20,0,-58.737518915965325,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.30151134457776363}",25,0,0.5567061824514985,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.2886751345948129}",25,0,-44.749346240392086,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.2773500981126146}",20,0,4.837954732154471,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.2672612419124244}",20,0,-95.27098318928228,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.2581988897471611}",25,0,-79.78454010148366,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.25}",20,0,-133.63665135845872,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
17,False,"{'a': 0.3, 'e': 0.24253562503633297}",25,4,18.409460558555104,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.23570226039551587}",25,0,-103.15586854622204,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.22941573387056174}",20,13,-12.372252007380373,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.3, 'e': 0.22360679774997896}",20,0,-44.951789906069955,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.2182178902359924}",25,4,-45.86093649160482,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 1}",1
22,False,"{'a': 0.3, 'e': 0.21320071635561041}",20,0,18.20961657662272,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.20851441405707477}",20,0,-77.73842885843025,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.20412414523193154}",20,0,-73.59138324084886,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.3, 'e': 0.2}",20,0,-55.37174152426514,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.19611613513818404}",20,3,-10.680412821224884,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.19245008972987526}",20,0,-17.880513902045234,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.3, 'e': 0.1889822365046136}",25,0,7.431326497355862,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.3, 'e': 0.18569533817705186}",25,16,13.551497929174545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.3, 'e': 0.18257418583505536}",25,6,-39.781002579529115,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.3, 'e': 0.1796053020267749}",25,16,9.2468171429468,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.3, 'e': 0.17677669529663687}",20,10,13.796378265956514,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.17407765595569785}",25,7,6.552861106892471,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.3, 'e': 0.17149858514250882}",30,18,22.74324999254779,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.3, 'e': 0.1690308509457033}",20,0,-4.888901446075943,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.3, 'e': 0.16666666666666666}",25,9,18.705544792994235,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.1643989873053573}",20,0,-30.11664731791114,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.16222142113076254}",20,4,-19.313220064188776,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
39,False,"{'a': 0.3, 'e': 0.16012815380508713}",25,6,-63.580752404841476,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
40,False,"{'a': 0.3, 'e': 0.15811388300841897}",30,6,-64.11456214695679,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
41,False,"{'a': 0.3, 'e': 0.15617376188860607}",35,18,8.643524618229522,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.3, 'e': 0.1543033499620919}",35,17,21.369114246699894,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.15249857033260467}",30,3,-8.196053947735667,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.3, 'e': 0.15075567228888181}",25,0,-173.05496037197113,"{0: 17, 1: 1, 2: 1, 3: 3, 4: 3}",0
45,False,"{'a': 0.3, 'e': 0.14907119849998599}",25,0,-46.659516763139614,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.3, 'e': 0.14744195615489714}",20,0,-19.889988225578268,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.3, 'e': 0.14586499149789456}",25,0,-72.27343194646782,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.3, 'e': 0.14433756729740646}",20,0,-80.10246178472818,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
49,False,"{'a': 0.3, 'e': 0.14285714285714285}",20,6,18.481431416739404,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.1414213562373095}",25,0,-79.45342683497601,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
51,False,"{'a': 0.3, 'e': 0.14002800840280097}",35,9,35.821098295547806,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.3, 'e': 0.1386750490563073}",20,0,-6.113207458116542,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
53,False,"{'a': 0.3, 'e': 0.13736056394868904}",35,3,-0.5678175386227915,"{0: 29, 1: 1, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.3, 'e': 0.13608276348795434}",30,17,18.15540317948606,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.13483997249264842}",25,13,-21.6113192394371,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.3, 'e': 0.1336306209562122}",25,19,11.207025381304167,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.13245323570650439}",25,14,17.685637309370556,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.3, 'e': 0.13130643285972254}",20,4,0.9154199533315591,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.13018891098082389}",20,2,8.526218922231468,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.3, 'e': 0.12909944487358055}",30,0,-46.84893227743094,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.3, 'e': 0.12803687993289598}",25,16,13.854242352436902,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.1270001270001905}",30,0,-17.482820022663777,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
63,False,"{'a': 0.3, 'e': 0.1259881576697424}",20,0,-19.830996756979893,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.3, 'e': 0.125}",30,11,-10.70434655000112,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.3, 'e': 0.12403473458920847}",25,11,-30.81233111469171,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.3, 'e': 0.12309149097933272}",20,0,19.20690697326509,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
